token,sentimento
acabar,-1
ilegal,-1
jogo,0
melhor,1
regulamentando,1
aprovar,1
avançar,1
brasil,0
futuro,1
jogos,0
legal,1
gosta,1
impeça,-1
jogar,0
cassinos,0
dinheiro,1
ideal,1
lavagem,-1
lugar,0
azar,-1
banca,0
ganha,1
história,0
tributar,-1
arrecadação,1
aumento,1
empregos,1
geração,1
impostos,-1
turismo,1
hipócritas,-1
joga,0
ninguém,0
obrigado,1
autorizar,1
sim,1
legalização,1
precisa,0
viciado,-1
caixa,0
econômica,1
podemos,0
assessor,0
controlado,-1
estado,0
fiscalização,1
fraudes,-1
menor,-1
proibição,-1
imoralidade,-1
aplicado,0
deputados,0
educação,1
gerar,1
habitação,1
receita,1
saúde,1
segurança,1